PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tf1,Tf2,w,ta,Ec_cuentas_num,Ec_hogar_num,Ec_salud_num,Ec_transporte_num,Ec_educacion_num,ing_jub_aps_num,ing_gpp_num,w_dc_num,t_domestic_work_num,t_care_work_num,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,Ec,Tc,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec,filtro_finite,filtro_trabajo_salario,filtro_tiempo,filtro_Ec,filtro_ingreso_potencial,filtro_mtuem_final
55,00080-1-01,30 a 44,Hombres,Quintil bajo,Sur,Trabajadores rutinarios,Motorizados privados,61.7,33.59,11.57,7.16786,168,104.26,30.69,20.02,52.97,24.14,0,0,3.099399,10.08,11.62,232.08000000000004,0,232.08000000000004,67.2569583,299.33695830000005,61.13999999999999,168,45.160000000000004,142.9200037,466.6205613,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
56,00080-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Motorizados privados,58.34,32.55,7.45,3.038659,168,0,0,0,0,0,0,0,3.038659,43.76,14.58,0,0,0,177.27536605999998,177.27536605999998,69.66,168,40,2.842170943040401e-14,121.54636000000002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
57,00088-1-02,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Movilidad mixta,56.34,47.69,6.22,6.213444,168,78.96,30.05,20.76,51.7,15,0,0,3.063982,6.79,9.55,196.46999999999997,0,196.46999999999997,50.065465880000005,246.53546587999998,57.75,168,53.91,103.52996908000003,438.49673512000004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,00092-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad mixta,51.64,30.53,21.41,5.057747,168,36.29,12.3,15.56,31.89,6.35,0,0,3.108422,11.64,0,102.39,0,102.39,36.18203208,138.57203207999999,64.42,168,51.94,122.61002300000001,385.30940218,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
59,00092-1-03,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,8.17,64.88,6.4,2.910447,168,0,0,0,0,0,0,0,2.910447,8.17,0,0,0,0,23.77835199,23.77835199,88.55000000000001,168,71.28,0,207.45666215999995,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
60,00094-1-02,30 a 44,Hombres,Quintil alto,Norte,Jovenes trabajadores,Movilidad mixta,63.7,54.44,7.12,5.690309,168,32.95,14.3,18.51,49.5,10.87,0,0,3.340784,17.43,1.27,126.13000000000001,0,126.13000000000001,62.4726608,188.60266080000002,42.74,168,61.559999999999995,173.8700225,524.16544454,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
61,00098-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Trabajadores rutinarios,Movilidad activa,58.08,36.63,13.51,2.659997,168,32.2,7.87,6.84,15.3,4.46,0,0,3.013973,18.08,0,66.66999999999999,0,66.66999999999999,54.492631839999994,121.16263183999999,59.779999999999994,168,50.14,33.32999392000002,166.70224350000004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
62,00099-1-01,60 o mas,Mujeres,Quintil alto,Sur,Cuidadores domesticos,Motorizados privados,64.15,35,8.35,4.048411,168,81.63,51.1,49.33,63.99,6.88,124.75,388.431955211025,3.117785,16.39,2.76,252.93,513.1819552110251,-260.25195521102506,59.70558275,-200.54637246102507,60.49999999999999,168,43.35,460.2519381110251,635.750554961025,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
63,00099-1-02,60 o mas,Hombres,Quintil alto,Sur,Trabajadores rutinarios,Movilidad mixta,49.19,36.14,8.65,3.315607,168,137.24,85.91,82.95,107.58,11.57,396,653.068044788975,3.125229,4.19,0,425.25,1049.068044788975,-623.8180447889749,13.094709510000001,-610.7233352789749,74.02,168,44.79,773.8180436089749,922.3240811389749,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
64,00100-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad mixta,68.42,46.22,4.72,2.661622,168,32.07,7.19,4.08,13.06,4.13,0,0,3.055302,26.35,7.07,60.53,0,60.53,102.10819284000002,162.63819284000002,48.64,168,50.94,19.469984399999987,155.05300907999995,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
65,00101-1-01,60 o mas,Mujeres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,65.36,45.38,10.74,2.702575,168,31.45,14.24,25.92,23.28,1.13,0,107.687861271676,3.027518,20.36,0,96.02,107.687861271676,-11.667861271676003,61.64026648,49.972405208324,46.519999999999996,168,56.120000000000005,126.66789679167599,278.336405791676,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
