dimension,categoria,orden_categoria,indicador,media,mediana,p25,p75,p95,p99,se_muestral,ic_muestral_inf,ic_muestral_sup,se_delta,ic_delta_inf,ic_delta_sup,metodo_ic_principal,ic95_inf,ic95_sup,n_valido
sexo,Hombres,1,VoL_predicho,5.224939567187106,3.614022998597687,3.098015794958301,5.460635218471916,13.730972950201508,24.580301775658334,0.10050406549813179,5.027878427055582,5.42200070731863,0.20193207954042852,4.829152691287867,5.620726443086346,delta,4.829152691287867,5.620726443086346,3107
sexo,Hombres,1,VTAW_predicho,0.5117498877535689,0.35360071984913555,0.2142583412848187,0.541820501506949,1.494899687125919,3.0270388801575367,0.014505316420581189,0.4833089070067614,0.5401908685003763,0.20193207961293919,0.11596301171220808,0.9075367637949296,delta,0.11596301171220808,0.9075367637949296,3107
sexo,Hombres,1,VoL_observado,6.555034597237069,4.194688673402979,1.4931551377047623,8.085225324635768,21.213952594137975,45.288939565353346,0.16920518339209814,6.223269248341503,6.886799946132634,NA,NA,NA,t_muestra,6.223269248341503,6.886799946132634,3107
sexo,Hombres,1,VTAW_observado,1.8418449178035319,0.5772720187242757,-1.417530038579116,3.0439955093230013,11.610037006637238,28.18898835850416,0.12247160858737,1.6017113997975614,2.0819784358095026,NA,NA,NA,t_muestra,1.6017113997975614,2.0819784358095026,3107
sexo,Hombres,1,w,4.713189679433537,3.246554,2.8524434999999997,4.966003,12.205716699999998,21.573747320000013,0.08643065323015948,4.5437226734628755,4.882656685404198,NA,NA,NA,t_muestra,4.5437226734628755,4.882656685404198,3107
sexo,Mujeres,2,VoL_predicho,5.824378221035157,4.765545241944368,3.809411513824025,6.582982588826507,12.157472102032143,23.21650561389153,0.058608130779367516,5.709479525103617,5.939276916966697,0.22856119067104222,5.376398287319914,6.2723581547504,delta,5.376398287319914,6.2723581547504,4818
sexo,Mujeres,2,VTAW_predicho,2.26851855851959,1.645233389377552,0.8951181452266797,2.966862507181942,5.541838591015079,11.056298090599155,0.033228380830913215,2.2033757605047355,2.3336613565344444,0.22856119041985953,1.8205386252966653,2.716498491742515,delta,1.8205386252966653,2.716498491742515,4818
sexo,Mujeres,2,VoL_observado,7.590739360055558,4.55345882201056,0,10.268227528409005,26.50897691308384,53.583936592532936,0.17001211769894178,7.257437984352158,7.9240407357589575,NA,NA,NA,t_muestra,7.257437984352158,7.9240407357589575,4818
sexo,Mujeres,2,VTAW_observado,4.034879697539991,1.6324091145653317,-2.9881369999999996,6.737163120356589,20.860590708010037,43.54634914025653,0.15101787783794943,3.738815704452575,4.330943690627407,NA,NA,NA,t_muestra,3.738815704452575,4.330943690627407,4818
sexo,Mujeres,2,w,3.5558596625155667,3.056833,2.89752675,3.4080777500000003,6.808978849999999,11.887959419999984,0.02812123528227201,3.500729201623022,3.6109901234081114,NA,NA,NA,t_muestra,3.500729201623022,3.6109901234081114,4818
