id_persona,modulo,choice,T_modulo_sem,choice_interno_v10,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_45_64,edad_65mas,n_menores_18,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_2,quintil_3,quintil_4,quintil_5,ing_personal,PeID,WeID,avl_1,chc_1,wd_1,avl_2,chc_2,wd_2,avl_3,chc_3,wd_3,avl_4,chc_4,wd_4,avl_5,chc_5,wd_5,avl_6,chc_6,wd_6,avl_7,chc_7,wd_7,wc_1
06250-1-01,TO,2,48,2,0,0,0,0,4.8,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,115,3493,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
06250-1-01,TC,2,4.2,2,0,1,0,0,0.42000000000000004,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,115,3493,2,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
06252-1-01,TO,1,44,1,0,0,0,0,4.4,0,0,1,0,0,1,0,2,2,1,0,0,1,0,0,1,0,475,3494,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
06257-1-01,TO,1,45,1,0,0,0,0,4.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,350,3495,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
06257-1-01,TD,1,13.48,1,1,0,0,0,1.348,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,350,3495,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
06258-1-03,TD,4,16.01,4,1,0,0,0,1.6010000000000002,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,3496,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1
06258-1-03,ED,1,42.17,1,0,0,1,0,4.2170000000000005,0,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,3496,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
06259-1-01,TO,1,40,1,0,0,0,0,4,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,450,3497,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
06259-1-01,TD,1,23.21,1,1,0,0,0,2.321,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,1,0,450,3497,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
06261-1-02,TD,1,38.67,1,1,0,0,0,3.867,1,0,0,0,0,0,2,1,2,1,0,1,0,1,0,0,0,0,3498,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
