id_persona,modulo,choice,T_modulo_sem,choice_interno_v10,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_45_64,edad_65mas,n_menores_18,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_2,quintil_3,quintil_4,quintil_5,ing_personal,PeID,WeID,avl_1,chc_1,wd_1,avl_2,chc_2,wd_2,avl_3,chc_3,wd_3,avl_4,chc_4,wd_4,avl_5,chc_5,wd_5,avl_6,chc_6,wd_6,avl_7,chc_7,wd_7,wc_1,Tw,Tf1,Tf2,Tc,w,Ec,ta,Ec_monetario,Ec_trabajo_no_remunerado,ingreso_libre_observado,ingreso_potencial_neto_Ec,wc_2
00008-1-02,TD,5,31.62,5,1,0,0,0,3.162,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,8,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,31.62,49.05,12,75.33,2.99152,94.5918624,168,0,94.5918624,0,182.63229600000005,1
00009-1-01,TD,2,37.43,2,1,0,0,0,3.743,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,77.06,31.36,6.2,53.379999999999995,3.1810330000000002,245.13040298,168,0,245.13040298,0,119.47959948000002,1
00011-1-01,TD,5,7.17,5,1,0,0,0,0.717,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,650,10,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,47.17,33.05,12.36,75.42,14.254286,313.32467332,168,290.95,22.37467332,359.0499973000001,1006.33712456,1
00011-1-02,TO,5,50,5,0,0,0,0,5,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,200,11,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,75.16,38.82,8.36,45.66,3.712825,168.58594048,168,89.53,79.05594048,110.46998652,285.64107002000003,1
00014-1-01,TO,1,65,1,0,0,0,0,6.5,0,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,250,12,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,77.67,32.2,6.86,51.27,3.798088,183.35751767,168,138.36,44.99751767,111.63997729,259.99329457,1
00014-1-01,TD,1,12.58,1,1,0,0,0,1.258,0,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,250,12,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,77.67,32.2,6.86,51.27,3.798088,183.35751767,168,138.36,44.99751767,111.63997729,259.99329457,1
00020-1-02,TO,1,40,1,0,0,0,0,4,1,0,1,0,0,0,1,2,2,1,0,0,1,0,0,1,0,287.07,13,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,58.17,34.45,9.3,66.08,4.422605,124.9881249380272,168,154.79999999999998,57.26295487000001,132.27480791197283,325.76377666197277,1
00020-1-02,TD,1,12.67,1,1,0,0,0,1.267,1,0,1,0,0,0,1,2,2,1,0,0,1,0,0,1,0,287.07,13,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,58.17,34.45,9.3,66.08,4.422605,124.9881249380272,168,154.79999999999998,57.26295487000001,132.27480791197283,325.76377666197277,1
00020-1-02,TC,1,5.5,1,0,1,0,0,0.55,1,0,1,0,0,0,1,2,2,1,0,0,1,0,0,1,0,287.07,13,3,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,58.17,34.45,9.3,66.08,4.422605,124.9881249380272,168,154.79999999999998,57.26295487000001,132.27480791197283,325.76377666197277,1
00022-1-01,TO,1,40,1,0,0,0,0,4,1,0,1,0,0,0,2,2,1,1,0,1,0,0,0,1,0,243.75,14,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,58.44,28.2,10.67,70.69,3.520064,70.07251384,168,108.11,55.71251383999999,135.64002632,272.464914,1
00023-1-01,TO,1,40,1,0,0,0,0,4,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,1750,15,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,52.99,48.59,3.9,62.51999999999999,33.771639,641.39914846,168,601.84,39.55914846,1148.1600021500003,2920.8333332600005,1
00023-1-01,TD,5,12.99,5,1,0,0,0,1.299,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,1750,15,2,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,52.99,48.59,3.9,62.51999999999999,33.771639,641.39914846,168,601.84,39.55914846,1148.1600021500003,2920.8333332600005,1
