variable,T_mod_10h,n_trabajadores,n_profesionales,ing_personal,mod_TD,mod_TC,mod_ED,mod_CP,female,zona_centro,zona_sur,edad_18_24,edad_65mas,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_3,quintil_4,quintil_5
zona_sur,-0.04187827912369725,-0.020737290334001953,-0.022203184358521626,0.028553701307379997,-0.03787429160018287,0.007454851262069864,0.002602583048715622,0.004254908818629427,0.0018648649219922815,-0.9658305934140737,1,-0.023006518461787626,-0.013538052924489135,-0.008434159612114725,-0.047242915143648916,0.04091495952687291,0.008796907881713004,0.010334809442554969,0.03711234389859724,-0.007670022507888825
edad_18_24,-0.017420579542313387,0.0606685006619119,-0.013097731604230577,-0.3444000292725697,-0.15952549741395736,-0.20574134448152326,0.7023473752357536,-0.10216482463518557,-0.099939748068785,0.03492315889074677,-0.023006518461787612,1,-0.6645915889711624,-0.5384218001806995,0.3763245401097566,0.07943360602802546,-0.35026548686910697,-0.04834712911798466,-0.0924820966013535,-0.14391293533565244
edad_65mas,-0.049086842410291966,-0.4123046107010891,-0.23575378814944595,0.18676903235237508,0.3096964850869865,-0.22137643312694869,-0.520932506968341,0.33000421085484316,-0.061244500506359274,0.05515943575487255,-0.013538052924489126,-0.6645915889711624,1,0.005826886233830772,-0.047056092932185545,-0.14099371531386728,-0.05763489923309099,0.02742893938561525,0.04031366376438668,0.07339138232186493
vive_pareja,-0.04045354133104292,0.2506925993113875,0.21856934630009367,0.07865113190232713,0.010673604531538358,0.2557509854404523,-0.45528875803101,4.18542981981939e-4,-0.1413953533314425,-0.012241776097490605,-0.008434159612114758,-0.5384218001806996,0.0058268862338308035,1,-0.0552073029943564,0.026581146355091616,0.1066231535072042,0.013180410920785118,0.0443359975057061,0.13081584328720405
educ_secundaria,0.036421188955180706,0.02911194941169906,-0.49520573889808206,-0.26059145351425195,-0.0187263268934721,-0.03221171472838887,0.2757418826394661,-0.05384535605315593,-0.003074528735213869,0.026083744689157553,-0.04724291514364889,0.3763245401097566,-0.04705609293218553,-0.05520730299435634,1,-0.5076637731818503,-0.489824935718546,0.0506884087752532,-0.062307073497541256,-0.1945687244898807
educ_tecnica,0.005606566670704766,0.05154751364462555,0.5109598034062808,-0.11435383029347604,-0.029702566517147328,0.07804137727236066,0.033223358562356656,-0.046221905102406736,0.028875762223584883,-0.026751230909758898,0.0409149595268729,0.07943360602802549,-0.14099371531386728,0.026581146355091588,-0.5076637731818504,1,-0.46536512380945544,0.01937023109492744,0.020759642400122666,-0.12057604852994809
educ_universitaria,-0.04180762437838607,0.06478702308154925,0.5037586453866933,0.6085707451364727,-0.005944657220822102,0.07847720488650682,-0.24781307150570323,-0.03190242911095583,-0.021375550672171246,-0.018878511640385703,0.008796907881712996,-0.3502654868691071,-0.05763489923309099,0.10662315350720425,-0.48982493571854613,-0.4653651238094554,1,-0.1172501018485463,0.03931878399212032,0.343842344027346
quintil_3,0.022027629467979898,0.05244133399326926,-0.05127197950585184,-0.1066771519241911,0.012078503318812923,-0.023227134320737523,-0.029846262727248964,0.05243059902555612,0.010054064902262995,-0.019200235672244197,0.010334809442554958,-0.04834712911798466,0.02742893938561528,0.013180410920785125,0.050688408775253276,0.019370231094927373,-0.11725010184854626,1,-0.4986542318053753,-0.4717275059072682
quintil_4,0.029315513889900627,0.23821633829508218,0.18549270956137162,0.08298722155296524,-0.005708394087479256,0.004686152624850541,-0.0669365555836163,0.020550901001070546,-0.022061946707995096,-0.035115424776007445,0.03711234389859723,-0.09248209660135351,0.040313663764386706,0.0443359975057061,-0.06230707349754127,0.02075964240012268,0.03931878399212032,-0.49865423180537527,1,-0.45883320482568946
quintil_5,-0.0334641394619597,0.2948516228945545,0.4994322414955689,0.7563813691905806,0.0032942186244664215,0.019188612589024604,-0.08439377336403267,-0.012204056352691723,-0.09679055017168647,0.01521232761851665,-0.007670022507888825,-0.1439129353356525,0.07339138232186493,0.13081584328720408,-0.19456872448988066,-0.1205760485299481,0.34384234402734587,-0.47172750590726825,-0.45883320482568946,1
